name,lat,lng
Abasar Sarbojanin Durgotsab Samity,22.5278699,88.3489227
"Aikatan, Dakshin Kolkata Sarbajanin Durgapujo",22.5276927,88.3474328
Bakul Bagan Sarbojanin Durgotsav,22.5267621,88.34826
Durga puja,22.523789,88.349519
Hazra Udayan Sangha,22.5231351,88.3487101
Jatin Das Park Sarbojanin,22.5244152,88.3460208
22 pally durga puja,22.5246368,88.3476348
Peyara Bagan,22.5291945,88.3543037
Paddapukur Young Men's Association,22.5318497,88.3521601
PADDAPUKUR BAROWARI DURGA PUJA PANDAL,22.5318163,88.3543776
Northern Park Durga Puja,22.534285,88.3505904
Paddapukur Youth Association,22.5326316,88.3490333
Bhowanipur Swadhin Sangha,22.531992,88.346237
Bhowanipore De Bari,22.5350623,88.3435706
Bhowanipur Sarbojanin Durgotsav Durga puja,22.5349921,88.3438382
76 Palli Club,22.5337976,88.3425906
Agradut Udaya Sangha,22.5338208,88.3419442
Sanghamitra Club,22.5317479,88.3419985
68 Pally Durga Puja,22.5287674,88.3463414
Bhawanipur Muktadol Durga Puja,22.527773,88.3440036
Muktodol,22.527421,88.3436119
23 Pally Durga Temple,22.5255299,88.3440145
National Library Durga Puja Community Shed,22.5310809,88.3346026
Khidirpur 25 Palli Durga Puja,22.5391961,88.3264565
Venus Club,22.5381681,88.3269229
74 Pally Club,22.5396498,88.3252173
KIDDERPORE SARBOJANIN DURGOTSAB,22.5389416,88.324929
26 Pally Durga Puja,22.543438,88.3217481
Khidderpore Pally Saradiya,22.5432531,88.3215038
Kidderpore Milan Sangha Club,22.5411074,88.3232378
Kabitirthey Sarodotsab Durga Puja,22.5406238,88.3223506
Khidderpore Nabarag,22.5417107,88.3212546
Udayan Kidderpore,22.5441606,88.32142
Bhukailash Sangh Sree Durga Puja Pandal,22.5377596,88.3183726
75 Pally Khidderpore,22.5402695,88.3205241
Hide Road Durga Puja Pandal,22.535214,88.3098716
Shree shree sarbojanik durga puja,22.5322285,88.3103575
Pally Mangal Samity Playground,22.5132125,88.2947031
Parnasree Club Durga Puja Ground,22.5069507,88.3066162
Parnasree Green Durga Puja,22.5074854,88.2995234
Begorkhal Nimtala pallybasi Durga Puja pandal,22.496344,88.293957
"Durga Bahini,Nabapally Khelarmath Durga Puja Committee",22.4934675,88.2928672
"Badamtala club,Parnasree pally",22.5032156,88.3059959
Durga Puja Pandal Jyotish Roy Road,22.5029479,88.3343553
Behala Buroshibtala Janakalyan Sangha,22.5042511,88.3303963
Mitali Sangha,22.5052333,88.3260525
29 Pally Durga Puja Pandal,22.506987,88.322693
Behala Club Sarbojanin Durgotsav Committee,22.5052597,88.3140807
Behala Agradut Club,22.5025475,88.3122874
Behala Panchanantala Mitali Sangha,22.5026686,88.3147523
Sonar Durga Bari,22.4998214,88.3145487
Debdaru Fatak Sarbojanin Durgotsav,22.5025869,88.3175461
Behala Debdaru Fatak Club,22.5023836,88.3177822
Adarsha Pally,22.4998455,88.3277164
K.F.R. Ground Sarbojanin Durga Puja,22.5022126,88.3218464
Behala Friends' Club,22.5013531,88.3198079
Behala Nutan Sangha Puja Pandal,22.5019877,88.3193392
Behala Natundal Durga Puja,22.500439,88.3199339
65 Pally Club,22.4980551,88.3211157
Barisha Sabuj Sathi Club,22.47821,88.310753
Nabarun Sangha Club,22.4990518,88.3237221
Arcadia Durga Puja,22.4937063,88.3142849
Behala Pragati Sangha Durga Puja,22.4949781,88.3167081
Jadu and Mitra Colony Durgapuja,22.4929335,88.3173413
Behala Uttarsuri Durga Puja,22.4916739,88.3149826
Joyrampur Sarbojanin Durga Puja committee,22.4921468,88.307365
"Joyrampur Sammilita Sarbojanin Durgotsab Committee, Behala",22.4892136,88.3065091
Behala Sree Sangha,22.4899348,88.3116678
Shyamapally Durgapuja Ground,22.4933526,88.3262654
Jaipurpally Durga Puja,22.4929394,88.3246254
Jayasree Durgapuja Ground,22.4912265,88.3254873
Umapally Durga Puja,22.4904351,88.3228513
Mahila Samity Durga Puja,22.491628,88.3230367
Barisha Milan Tirtha Club,22.4883082,88.3215125
Sabeda Bagan Club,22.4882317,88.3166527
Barisha Ekota Sangha Durga Puja Area,22.4878541,88.316046
Jagrihi Club,22.4855883,88.3174966
Behala Player's Corner Durga Puja,22.4858476,88.313717
Barisha Yubak Brinda Club,22.4862565,88.3120954
Behala East Park Samaj Bhavan,22.4847041,88.3232442
Bonedi Durga Pujo Tour,22.4820598,88.3202299
Sitalatala Sanghashree Club Sarbojonin Durga Mandir,22.4880977,88.3112242
Nandanpally sarbojonin Durgoutsav,22.4847943,88.3148576
Barisha Janakalyan Sangha Durga Puja Area,22.4849124,88.3125818
Agraduth Club Durga Puja,22.4829097,88.3149116
Barisha Young Sporting Club,22.4827271,88.3142491
Natunpara Durga Puja Pandal,22.4845883,88.3067091
Shakti Sangha Durgapuja Area,22.4743753,88.3158074
Barisha Club Puja Ground and Community Hall,22.4812859,88.3132412
Saborna Roychoudhury(Borobari) Durga Puja Area,22.479964,88.3110341
Barisha Mukul Sangha Durgapuja Area,22.4797092,88.3108534
Barisha Chandi Mela,22.4808525,88.3087408
Barisha Sarbojonin,22.4798533,88.3081233
Barisha Sporting Club,22.4798088,88.3078024
Mejo Bari,22.4797192,88.3063754
SABARNA ROY CHOWDHURY Sanjer ATTCHALA BARI,22.480083,88.3065991
Barisha Tapoban Durgapuja Area,22.4764254,88.3105034
Barisha Udayan Pally,22.4754554,88.3092149
Barisha 22 Pally Sarbojanin Durgotsab,22.4757624,88.3047986
AJC Bose Road Durgapuja Area,22.4731027,88.3109238
BARISHA SABUJ SANGHA CLUB,22.4714232,88.3149384
"Souvik Chakraborty Barabagan Sarbojonin Durga Puja Area C3, Bidya Sagar Sarani,APARNA House",22.4722423,88.3128026
Tarun Dal Durgapuja Area,22.471394,88.31165
Sister Nivedita MultiPurpose Society Duga Puja Mandap,22.4669335,88.3120983
State Bank Park ( S B Park),22.4677772,88.3090707
Thakurpukur Club Durga Puja,22.4667801,88.3075694
