name,type,lat,lng
Jaquar Authorized Dealer - Gokul Stones & Tiles PVT LTD,toilet,22.6282952,88.4198237
বউ হারাবি বিকি,toilet,22.633686,88.408431
Sulabh Complex,toilet,22.6255228,88.3824744
Pay and Use Toilet,toilet,22.5085444,88.347497
Sulabh Souchalaya,toilet,22.506982,88.345265
KMC Pay & Use,toilet,22.5068216,88.3452641
Pay and Use Toilet,toilet,22.5083873,88.3538
Pay & use Toilet,toilet,22.5111386,88.3506793
Toilet for Handicapped,toilet,22.5077625,88.3471406
RadhaRadha Mirdha,toilet,22.4929402,88.3427552
Bad smell bathroom,toilet,22.507968,88.3413712
Pay & Use Toilet,toilet,22.4876439,88.3144391
SBM TOILET,toilet,22.4841719,88.3145238
প্রসাব & সোচালয়,toilet,22.482435,88.3107559
New Sarajini Art Press,toilet,22.486866,88.3129976
Pay & Use toilet James long,toilet,22.4843018,88.3144684
SBM TOILET,toilet,22.4920431,88.3076265
SBM Pay and Use Toilet,toilet,22.4873274,88.3131336
SBM TOILET,toilet,22.48836,88.323385
Pay And Use Toilet,toilet,22.4915268,88.3158678
PAY and USE TOILET,toilet,22.4855801,88.3399662
Pay and Use Toilet (Sulabh Souchalaya),toilet,22.4920407,88.3078797
Pay & Use Toilet,toilet,22.486938,88.3130548
Sulabh Souchaloy,toilet,22.4890916,88.3062879
toilet,toilet,22.4869135,88.3135468
SBM TOILET,toilet,22.4919552,88.3032064
Pay & Use Toilet,toilet,22.4883195,88.3233104
